"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 02:53:27 UTC 2023","Wed Nov 01 02:53:29 UTC 2023","2056","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Nov 01 03:35:56 UTC 2023","Wed Nov 01 03:35:58 UTC 2023","1468","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Nov 01 04:25:39 UTC 2023","Wed Nov 01 04:26:48 UTC 2023","69353","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Nov 01 04:12:16 UTC 2023","Wed Nov 01 04:12:19 UTC 2023","2597","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Nov 01 02:43:06 UTC 2023","Wed Nov 01 02:43:27 UTC 2023","21431","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Nov 01 02:52:18 UTC 2023","Wed Nov 01 02:52:23 UTC 2023","4465","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Nov 01 04:59:09 UTC 2023","Wed Nov 01 04:59:12 UTC 2023","2986","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Nov 01 02:47:34 UTC 2023","Wed Nov 01 02:47:39 UTC 2023","4927","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Nov 01 04:04:16 UTC 2023","Wed Nov 01 04:08:40 UTC 2023","263824","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Nov 01 02:32:55 UTC 2023","Wed Nov 01 02:33:02 UTC 2023","6963","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
